price,city,layout,area,condition,ownership,outdoor,lat,lon,url
3690000,Ostatní,3+kk,60,Velmi dobrý,Osobní,0,49.842407,15.993981,https://www.sreality.cz/detail/prodej/byt/3+kk/skutec-skutec-ceskoslovenske-armady/2668741452
16995000,Praha 5,3+kk,106,Novostavba,Osobní,1,50.064598,14.410204,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-strakonicka/716161612
22300000,Praha 1,4+kk,108,Po rekonstrukci,Osobní,0,50.08905,14.406981,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-mala-strana-letenska/2760909644
12144000,Praha,3+kk,66,Novostavba,Osobní,1,50.014652,14.438012,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kamyk-vosatkova/3337995084
12295000,Praha 5,2+kk,72,Novostavba,Osobní,1,50.064598,14.410204,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-strakonicka/3586114124
9699000,Praha 9,3+1,70,Velmi dobrý,Osobní,1,50.123234,14.495726,https://www.sreality.cz/detail/prodej/byt/3+1/praha-prosek-jablonecka/1468363596
14500000,Praha 10,4+kk,95,Velmi dobrý,Osobní,0,50.057541,14.502496,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zabehlice-/2290303820
8999000,Praha,3+kk,58,Velmi dobrý,Osobní,0,50.065758,14.506121,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-na-padesatem/2127852364
8990000,Praha 9,3+1,79,Velmi dobrý,Osobní,1,50.095013,14.54084,https://www.sreality.cz/detail/prodej/byt/3+1/praha-kyje-dvoristska/2212254540
2800000,Teplice,2+1,55,Dobrý,Družstevní,1,50.637554,13.814287,https://www.sreality.cz/detail/prodej/byt/2+1/teplice-teplice-svojsikova/3622069068
17990000,Praha 4,3+kk,123,Velmi dobrý,Osobní,1,49.990322,14.407216,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-komorany-okruzni/2482328396
2700000,Teplice,2+1,60,Dobrý,Osobní,0,50.641747,13.847412,https://www.sreality.cz/detail/prodej/byt/2+1/teplice-teplice-pod-doubravkou/1048789836
8990000,Praha 9,4+1,79,Velmi dobrý,Osobní,1,50.095013,14.54084,https://www.sreality.cz/detail/prodej/byt/4+1/praha-kyje-dvoristska/2878690124
25500000,Praha 7,4+kk,120,Velmi dobrý,Osobní,1,50.09819,14.425007,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-holesovice-ovenecka/1585660748
10500000,Pardubice,3+kk,80,Novostavba,Osobní,0,50.040173,15.728928,https://www.sreality.cz/detail/prodej/byt/3+kk/pardubice-rosice-skolni-namesti/4017959756
